variant_id,model_year,region,body_style,trim_level,drivetrain,wheelbase_mm,curb_mass_kg,drag_coefficient,frontal_area_m2,max_payload_kg,tow_rating_kg,homologation_code,active_aero,certification_market,test_cycle,procedure_standard,gcwr_kg,braked_trailer_rating_kg,unbraked_trailer_rating_kg
OAM-V0001,2025,KR,wagon,Fleet,4WD,3076,2027,0.243,2.50,632,2070,KR-2025-6005,true,Korea,WLTC-KR,KATRI/WLTC,4881,2070,750
OAM-V0002,2026,JP,van,Base,4WD,3590,2606,0.398,3.96,1203,2383,JP-2026-7913,false,Japan,WLTC-JP,MLIT TRIAS/WLTC,6366,2383,750
OAM-V0003,2027,LATAM,sedan,Performance,RWD,2877,1743,0.197,2.32,413,0,LATAM-2027-3446,true,LATAM,Market-specific WLTP/EPA derivative,Local type-approval procedure by importing market,2285,0,0
OAM-V0004,2024,EU,sedan,Base,AWD,2750,1893,0.234,2.40,422,0,EU-2024-6256,true,European Union,WLTP,UNECE R154,2443,0,0
OAM-V0005,2025,NA,pickup,Touring,4WD,3290,3417,0.420,3.05,695,4498,NA-2025-8308,false,United States/Canada,EPA FTP-75/HWFET/US06,40 CFR Part 86 and Part 1066,8759,4498,750
OAM-V0006,2026,GCC,wagon,Executive,FWD,2923,1975,0.288,2.37,547,1810,GCC-2026-5999,false,GCC,GSO/SASO fuel economy,GSO/SASO light-duty vehicle fuel economy procedure,4462,1810,750
OAM-V0007,2027,GCC,liftback,Sport,4WD,2887,1674,0.284,2.17,546,0,GCC-2027-3668,true,GCC,GSO/SASO fuel economy,GSO/SASO light-duty vehicle fuel economy procedure,2438,0,0
OAM-V0008,2024,JP,pickup,Sport,RWD,3303,3237,0.379,3.34,960,4535,JP-2024-5055,false,Japan,WLTC-JP,MLIT TRIAS/WLTC,8859,4535,750
OAM-V0009,2025,KR,suv,Sport,4WD,2943,2597,0.322,3.13,753,3727,KR-2025-2149,false,Korea,WLTC-KR,KATRI/WLTC,7217,3727,750
OAM-V0010,2026,KR,pickup,Base,AWD,3225,2607,0.397,3.35,1180,4279,KR-2026-2062,true,Korea,WLTC-KR,KATRI/WLTC,8172,4279,750
