calibration_id,platform_code,engine_family,displacement_l,cylinders,boost_pressure_kpa,peak_power_kw,peak_torque_nm,final_drive_ratio,fuel_map_revision,wltp_co2_g_per_km,thermal_limit_deg_c,ecu_checksum,production_release_date,propulsion_type,emissions_certification_basis,obd_standard
CAL-00001,PX55,V35H,3.5,6,128.2,248.8,754.1,3.406,FM-8.2,142,113.1,A0E9D6,2026-01-01,HEV,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00002,PX57,V35H,3.5,6,79.3,295.7,549.6,3.894,FM-10.7,63,112.6,49A6A0,2024-07-29,HEV,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00003,PX55,B18T,1.8,4,169.6,142.9,312.4,3.429,FM-12.1,132,108.7,DF6F76,2025-04-21,ICE,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00004,PX48,B18T,1.8,4,123.1,125.6,296.0,3.985,FM-6.8,159,108.5,AAFD71,2024-04-22,ICE,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00005,PX95,B20T,2.0,4,139.4,219.2,422.2,3.237,FM-10.7,196,112.7,AA85BB,2025-01-09,ICE,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00006,PX45,B20T,2.0,4,101.8,181.1,384.6,3.356,FM-11.8,186,108.6,01190E,2026-04-02,ICE,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00007,PX87,V35H,3.5,6,78.6,361.5,527.7,4.048,FM-10.0,68,118.1,C798D2,2025-02-01,HEV,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00008,PX94,V50D,5.0,8,201.0,364.1,695.3,3.569,FM-11.3,206,123.3,35852C,2024-09-18,ICE,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00009,PX29,B18T,1.8,4,173.8,152.6,322.0,3.312,FM-3.6,130,113.2,66A9C5,2025-12-18,ICE,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00010,PX33,V50D,5.0,8,188.0,375.7,826.8,3.618,FM-10.0,254,114.4,1B6DF1,2025-04-12,ICE,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00011,PX34,B20T,2.0,4,103.7,147.2,400.1,3.753,FM-11.7,149,113.7,0D1C90,2026-07-07,ICE,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
